Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021742975,1510,Serious Assaults,Violence,Cancelled,-,MARSHLAND,CHRISTCHURCH,Sat 6:20 PM
P021742968,3530,Disorder,Disorder,Closed,-,MARSHLAND,CHRISTCHURCH,Sat 6:20 PM
P021743053,3530,Disorder,Disorder,Cancelled,MARSHLAND RD,MARSHLAND,CHRISTCHURCH,Sat 6:20 PM
P021743034,3H,Hotel Visit,Liquor,Closed,NULL,LINCOLN,SELWYN,Sat 6:20 PM
P021743015,4320,Theft Ex Shop,Dishonesty,Cancelled,GREAT SOUTH RD,MANUREWA,AUCKLAND,Sat 6:20 PM
P021743024,4320,Theft Ex Shop,Dishonesty,Closed,GREAT SOUTH RD,MANUREWA,AUCKLAND,Sat 6:20 PM
P021743003,1U,Traffic Offending,Road Policing,Cancelled,SH 29,LOWER KAIMAI,WESTERN BAY OF PLENTY,Sat 6:20 PM
P021743055,1U,Traffic Offending,Road Policing,Closed,-,KAIAPOI,WAIMAKARIRI,Sat 6:20 PM
P021743041,1U,Traffic Offending,Road Policing,Closed,-,GATE PA,TAURANGA,Sat 6:20 PM
P021742521,1D,Domestic Dispute,Family violence,Closed,EAST BANK RD,EDGECUMBE,WHAKATANE,Sat 6:15 PM
P021742149,3710,Child Abuse,Family violence,Closed,GOODWOOD DR,GOODWOOD HEIGHTS,AUCKLAND,Sat 6:13 PM
P021742393,1C,Car/Person Acting Suspiciously,Public safety,Closed,UNNAMED RD,MANGERE EAST,AUCKLAND,Sat 6:10 PM
P021741541,1C,Car/Person Acting Suspiciously,Public safety,Closed,PUHI HUIA RD,MOUNT EDEN,AUCKLAND,Sat 6:10 PM
P021742948,3H,Hotel Visit,Liquor,Closed,-,,,Sat 6:10 PM
P021742931,3H,Hotel Visit,Liquor,Closed,-,,,Sat 6:10 PM
P021742934,4211,Car Conversion,Vehicle Crime/incident,Closed,"MORGANS ROAD TAKEAWAY, TIMARU ",,,Sat 6:10 PM
P021742930,1U,Traffic Offending,Road Policing,Closed,GREAT SOUTH RD,GREENLANE,AUCKLAND,Sat 6:10 PM
P021742890,1U,Traffic Offending,Road Policing,Closed,PARNASSUS RD,SPOTSWOOD,HURUNUI,Sat 6:10 PM
P021742886,1U,Traffic Offending,Road Policing,Closed,RIVER RD,FAIRFIELD,HAMILTON,Sat 6:10 PM
P021742759,1U,Traffic Offending,Road Policing,Cancelled,SH 29,KAIMAI-MAMAKU FOREST PARK,MATAMATA-PIAKO,Sat 6:10 PM
P021742751,1U,Traffic Offending,Road Policing,Cancelled,NULL,LOWER KAIMAI,MATAMATA-PIAKO,Sat 6:10 PM
P021742827,1640,Minor Assaults,Violence,Closed,WAITOA RD,HATAITAI,WELLINGTON,Sat 6:00 PM
P021742839,1710,Intimidation/Threats,Violence,Closed,-,TE ARO,WELLINGTON,Sat 6:00 PM
P021742791,1I,Blockage/Breakdown On Highway,Road Policing,Cancelled,SOUTHERN MWY,RAMARAMA,AUCKLAND,Sat 6:00 PM
P021742776,1I,Blockage/Breakdown On Highway,Road Policing,Cancelled,SH 29,TAURIKO,TAURANGA,Sat 6:00 PM
P021742773,1V,Vehicle Collision,Road Policing,Closed,TE RAPA RD,PUKETE,HAMILTON,Sat 6:00 PM
P021742354,2R,Recovery Motor Vehicle,Vehicle Crime/incident,Closed,RATA ST,WAIRAKEI,TAUPO,Sat 6:00 PM
P021742820,3530,Disorder,Disorder,Closed,HUMPHREYS DR,FERRYMEAD,CHRISTCHURCH,Sat 6:00 PM
P021742794,3530,Disorder,Disorder,Closed,KAURI RD,STANMORE BAY,AUCKLAND,Sat 6:00 PM
P021742824,3H,Hotel Visit,Liquor,Closed,CUSTOMHOUSE QUAY,WELLINGTON CENTRAL,WELLINGTON,Sat 6:00 PM
P021742807,1U,Traffic Offending,Road Policing,Closed,GREEN LA,GREENLANE,AUCKLAND,Sat 6:00 PM
